"Company","CEO Name","Real Email"
"Midway Industrial Supply","N/A (Division of OTC)","info@midwayis.com"
"Anderson Process","Greg Domino","Sales@AndersonProcess.com"
"GT Midwest","Nick Onofrio","Contact via website form (gtmidwest.com)"
"JHFOSTER","Nicholas Martino","solutions@jhfoster.com"
"Santa Clara Systems","Seth Kostek (VP)","sales@santaclarasystems.com"
"Rogers Machinery Company, Inc.","Andrew Ragen","sales@rogers-machinery.com"
"Zaxis Inc.","Zac Peeler","sales@zaxisinc.com"
"Orange Coast Pneumatics","N/A (Employee-owned)","sales@ocaire.com"
"C&B Equipment","Dennis L. Noyes","dnoyes@cbeuptime.com"
"AAP Automation","Alex Runge (VP)","info@aapautomation.com"
"CM Buck & Associates","Steven Hall","sales@cmbuck.com"
"Cullum & Brown","N/A (Acquired)","Contact via website form (cullumandbrown.com)"
"Cisco Air Systems","N/A (Subsidiary of DXP)","info@ciscoair.com"
"The Jack Olsta Co.","John Olsta","Contact via website form (olstaco.com)"
"E.W. Klein & Company","Eddie Ostervold","info@ewklein.com"
